28262, 33540, 38321, 40753, 20278, 0, 0, 5171, -5529, -13843
17417, 20297, 26119, 22289, 16093, 51955, 50832, 2336, -6374, -14240
27774, 31619, 39852, 40857, 21621, 0, 0, 12076, 7891, -6784
19539, 20432, 26119, 25431, 17057, 11300, 0, 3129, -4806, -14611
28840, 31888, 40363, 41102, 11934, 0, 0, 2598, -4889, -14675
24307, 24115, 28448, 30524, 11737, 0, 0, 2259, -7270, -13920
22084, 20999, 29403, 41321, 15326, 51955, 53048, 3564, -7923, -13254
20466, 19812, 27581, 24511, 15950, 0, 0, 1606, -2252, -15411
28594, 36438, 42722, 26551, 15331, 0, 21867, 2054, -2316, -15347
20483, 20604, 31313, 39309, 14400, 0, 0, 5580, -7974, -12576
23115, 23859, 41936, 40743, 12370, 0, 52350, 8051, -4627, -12864
29593, 22153, 26119, 27712, 15640, 32055, 36971, 3308, -166, -15347
27835, 21892, 33047, 27980, 14720, 0, 0, 6502, -3072, -14035
23155, 23432, 37862, 41695, 15412, 0, 0, 3027, 275, -15404
22746, 20535, 32487, 41259, 18637, 0, 0, 2963, 217, -15353
23125, 34119, 41960, 37635, 14661, 0, 0, -5644, -14368, 5056
21422, 21522, 42566, 37774, 15461, 0, 0, -4204, -14713, 5459
23307, 24142, 34721, 31729, 16463, 29758, 45304, 5337, -12115, -8857
20194, 22148, 34643, 40304, 17754, 0, 39288, -6739, -14598, 934
20500, 22309, 36556, 25510, 19764, 0, 0, -5164, -15264, 294
21234, 22823, 40173, 41377, 15448, 0, 17337, 3494, -7353, -13587
21198, 23006, 30741, 28800, 16769, 40988, 51832, 3481, -8134, -13094
