28752, 35529, 25673, 40992, 22644, 0, 0, 275, -4364, -14822
22072, 15997, 30121, 21442, 17721, 49257, 49780, -588, -3744, -15001
28878, 35002, 42425, 40430, 24304, 0, 0, 7660, 11436, -7910
20897, 21259, 30785, 26778, 23292, 27816, 0, 7609, 998, -13715
27885, 34557, 42217, 40492, 21032, 0, 0, 5811, 1043, -14496
21848, 24746, 33548, 26890, 19728, 0, 0, 5459, -2188, -14496
24073, 24714, 33009, 38876, 21140, 49131, 21562, 6073, -2982, -14112
21786, 21179, 29197, 25759, 21645, 0, 0, 5516, -3264, -14265
29921, 32838, 41885, 27603, 21416, 0, 29338, 4806, -2508, -14745
22309, 21963, 31279, 37865, 20852, 37849, 0, 2432, -13587, -8012
23440, 22293, 42467, 40609, 20692, 0, 1048, 3091, -13638, -7840
30500, 25253, 31472, 30361, 18197, 27800, 0, -1209, -4076, -14950
30173, 23658, 31631, 29930, 19331, 24415, 0, 2841, -8537, -12819
23310, 24654, 42638, 40079, 20839, 0, 0, 121, -5516, -14630
21495, 20695, 30392, 39630, 20965, 0, 0, 2656, -6188, -14086
24100, 30664, 40847, 33926, 19317, 2326, 0, -3168, -15827, 691
20834, 20542, 34031, 32719, 20462, 658, 0, -4672, -15372, 1868
22830, 22037, 32240, 27570, 20027, 0, 0, 3078, -12966, -8601
20905, 20672, 32904, 33732, 19394, 34841, 27940, -2924, -15577, 2944
24008, 26536, 41590, 24323, 18175, 0, 0, -4307, -15283, 2272
23891, 23384, 41376, 40016, 18327, 0, 47894, 3430, -13612, -7545
23613, 18825, 30184, 28027, 20102, 49184, 55696, 2073, -9478, -12377
21508, 20489, 29083, 35936, 28243, 0, 0, 13913, -4780, -6220
23510, 23058, 42267, 40378, 17389, 11165, 0, 3353, -5184, -14272
24296, 22833, 43058, 38705, 19301, 0, 0, 2924, -6092, -14067
25997, 30855, 38843, 39739, 19462, 0, 4555, 4352, -6905, -13337
21239, 21011, 29467, 32803, 20833, 27491, 0, 7628, -6182, -12281
29559, 22054, 31787, 24316, 23554, 2575, 0, 8620, -1446, -12928
25027, 24092, 30864, 35682, 18341, 39044, 0, -3820, -5696, -13920
