29693, 33824, 40527, 39088, 34299, 0, 0, 5523, -12012, -8985
22068, 19599, 28122, 25560, 30830, 54670, 58331, 4505, -13126, -7872
29364, 33421, 37811, 39896, 34277, 0, 0, 275, 11577, -10604
22328, 20806, 29335, 25177, 33877, 51002, 0, 6457, -11136, -9459
29101, 31951, 41114, 39924, 27943, 0, 0, 4524, -11737, -9926
25211, 22595, 29469, 26330, 32667, 0, 0, 7577, -11212, -8499
23314, 15697, 28762, 36766, 33637, 56481, 55947, 4211, -8940, -12198
23140, 21086, 26264, 23501, 31382, 50967, 0, 4025, -12217, -9369
30904, 33755, 35345, 25573, 31227, 0, 61549, 3680, -8640, -12633
21895, 19585, 27012, 34238, 32502, 53517, 58911, 2361, -13894, -7417
23339, 21359, 35221, 38828, 31791, 1293, 50913, 12588, -3641, -9056
26760, 21180, 26693, 28670, 27072, 40761, 49676, 8288, -3571, -12883
23061, 19479, 26870, 23617, 31319, 42079, 0, 13388, -5689, -6796
20143, 20705, 36528, 37612, 34716, 0, 0, 7366, -2873, -13651
19712, 18450, 24499, 39223, 34905, 0, 0, 6425, -9753, -10643
19354, 30269, 32256, 29723, 29617, 36602, 0, 2291, -15219, 5184
22140, 20735, 33873, 31561, 30204, 41610, 0, 1440, -14534, 6886
22349, 24006, 31850, 27648, 30349, 52639, 54132, 7974, -7756, -11481
23094, 21909, 32150, 39634, 35124, 51577, 51195, -1676, -8774, 13376
23045, 21539, 41172, 23851, 34697, 0, 0, -1497, -7724, 13945
23756, 23290, 38161, 38286, 30344, 0, 54937, 7296, -10124, -9881
22341, 21160, 28388, 24680, 28971, 45777, 59972, 6758, -9376, -10803
22768, 21824, 29239, 39960, 34888, 0, 0, 14284, 108, -7353
26284, 23081, 40920, 38455, 33279, 40228, 34343, 6822, -11993, -8147
22517, 22460, 40168, 38355, 33402, 0, 12128, 5856, -11468, -9536
24194, 35157, 41082, 38131, 32347, 0, 53407, 6336, -11558, -9024
23208, 24464, 32506, 29482, 30741, 0, 41053, 1267, -11526, -10739
28861, 23024, 29842, 24827, 34636, 36380, 0, 9043, -5376, -11827
22559, 21304, 29418, 35121, 30267, 0, 54182, -6208, -7686, -12038
